Visit on,Tracking Method,Guest ID,First Name,Last Name,Address,Apartment/Suite,City/Town,State/Province,Zip/Postal Code,Total Individuals,--- TOTAL Rx COSTS (number only 0.00),,,,Test Notes
9/1/2023 0:00,Food,21,21,21,,,,MD,20862,1,,,,,
10/1/2023 0:00,Food,22,22,22,,,,MD,20866,1,,,,,
11/1/2023 0:00,Food,23,23,23,,,,MD,20818,1,,,,,
12/1/2023 0:00,Food,24,24,24,,,Chevy Chase,MD,20815,1,,,,,
1/1/2023 0:00,Food,25,25,25,,,Clarksburg,MD,20815,1,,,,,
2/1/2023 0:00,Food,26,26,26,,,Chevy Chase,MD,20825,1,,,,,
3/1/2023 0:00,Food,27,27,27,,,Clarksburg,MD,20825,1,,,,,
4/1/2023 0:00,Food,28,28,28,,,,MD,20871,1,,,,,
5/1/2023 0:00,Food,29,29,29,,,Colesville,MD,20904,1,,,,,
6/1/2023 0:00,Food,30,30,30,,,Damascus,MD,20904,1,,,,,
7/1/2023 0:00,Food,31,31,31,,,Colesville,MD,20905,1,,,,,
8/1/2023 0:00,Food,32,32,32,,,Damascus,MD,20905,1,,,,,
9/1/2023 0:00,Food,33,33,33,,,Colesville,MD,20914,1,,,,,
10/1/2023 0:00,Food,34,34,34,,,Damascus,MD,20914,1,,,,,
11/1/2023 0:00,Food,35,35,35,,,,MD,20872,1,,,,,
12/1/2023 0:00,Food,36,36,36,,,Darnestown,MD,20874,1,,,,,
1/1/2023 0:00,Food,37,37,37,,,Derwood,MD,20874,1,,,,,
2/1/2023 0:00,Food,38,38,38,,,Dickerson,MD,20874,1,,,,,
3/1/2023 0:00,Food,39,39,39,,,Darnestown,MD,20878,1,,,,,
4/1/2023 0:00,Food,40,40,40,,,Derwood,MD,20878,1,,,,,
5/1/2023 0:00,Food,41,41,41,,,Dickerson,MD,20878,1,,,,,
6/1/2023 0:00,Food,42,42,42,,,Darnestown,MD,20855,1,,,,,
7/1/2023 0:00,Food,43,43,43,,,Derwood,MD,20855,1,,,,,
8/1/2023 0:00,Food,44,44,44,,,Dickerson,MD,20855,1,,,,,
9/1/2023 0:00,Food,45,45,45,,,,MD,20842,1,,,,,
10/1/2023 0:00,Food,46,46,46,,,Gaithersburg,MD,20877,1,,,,,
11/1/2023 0:00,Food,47,47,47,,,Gaithersburg,MD,20878,1,,,,,
12/1/2023 0:00,Food,48,48,48,,,Gaithersburg,MD,20879,1,,,,,
1/1/2023 0:00,Food,49,49,49,,,Gaithersburg,MD,20882,1,,,,,
2/1/2023 0:00,Food,50,50,50,,,,MD,20883,1,,,,,
3/1/2023 0:00,Food,51,51,51,,,,MD,20884,1,,,,,
4/1/2023 0:00,Food,52,52,52,,,,MD,20885,1,,,,,
5/1/2023 0:00,Food,53,53,53,,,Gaithersburg,MD,20886,1,,,,,
6/1/2023 0:00,Food,54,54,54,,,,MD,20898,1,,,,,
7/1/2023 0:00,Food,55,55,55,,,,MD,20896,1,,,,,
8/1/2023 0:00,Food,56,56,56,,,Garrett Park,MD,20874,1,,,,,
9/1/2023 0:00,Food,57,57,57,,,Germantown,MD,20874,1,,,,,
10/1/2023 0:00,Food,58,58,58,,,Glen Echo,MD,20874,1,,,,,
11/1/2023 0:00,Food,59,59,59,,,,MD,20875,1,,,,,
12/1/2023 0:00,Food,60,60,60,,,,MD,20876,1,,,,,
1/1/2023 0:00,Food,61,61,61,,,,MD,20812,1,,,,,
2/1/2023 0:00,Food,62,62,62,,,,MD,20891,1,,,,,
3/1/2023 0:00,Food,63,63,63,,,,MD,20895,1,,,,,
4/1/2023 0:00,Food,64,64,64,,,Kensington,MD,20879,1,,,,,
5/1/2023 0:00,Food,65,65,65,,,Laytonsville,MD,20879,1,,,,,
6/1/2023 0:00,Food,66,66,66,,,Kensington,MD,20882,1,,,,,
7/1/2023 0:00,Food,67,67,67,,,Laytonsville,MD,20882,1,,,,,
8/1/2023 0:00,Food,68,68,68,,,Montgomery Village,MD,20877,1,,,,,
9/1/2023 0:00,Food,69,69,69,,,Olney,MD,20877,1,,,,,
10/1/2023 0:00,Food,70,70,70,,,Montgomery Village,MD,20879,1,,,,,
11/1/2023 0:00,Food,71,71,71,,,Olney,MD,20879,1,,,,,
12/1/2023 0:00,Food,72,72,72,,,Montgomery Village,MD,20886,1,,,,,
1/1/2023 0:00,Food,73,73,73,,,Olney,MD,20886,1,,,,,
2/1/2023 0:00,Food,74,74,74,,,,MD,20830,1,,,,,
3/1/2023 0:00,Food,75,75,75,,,,MD,20832,1,,,,,
4/1/2023 0:00,Food,76,76,76,,,,MD,20837,1,,,,,
5/1/2023 0:00,Food,77,77,77,,,Poolesville,MD,20854,1,,,,,
6/1/2023 0:00,Food,78,78,78,,,Potomac,MD,20854,1,,,,,
7/1/2023 0:00,Food,79,79,79,,,Poolesville,MD,20859,1,,,,,
8/1/2023 0:00,Food,80,80,80,,,Potomac,MD,20859,1,,,,,
9/1/2023 0:00,Food,81,81,81,,,Poolesville,MD,20878,1,,,,,
10/1/2023 0:00,Food,82,82,82,,,Potomac,MD,20878,1,,,,,
11/1/2023 0:00,Food,83,83,83,,,,MD,20847,1,,,,,
12/1/2023 0:00,Food,84,84,84,,,,MD,20848,1,,,,,
1/1/2023 0:00,Food,85,85,85,,,,MD,20849,1,,,,,
2/1/2023 0:00,Food,86,86,86,,,,MD,20850,1,,,,,
3/1/2023 0:00,Food,87,87,87,,,,MD,20851,1,,,,,
4/1/2023 0:00,Food,88,88,88,,,Rockville,MD,20852,1,,,,,
5/1/2023 0:00,Food,89,89,89,,,,MD,20853,1,,,,,
6/1/2023 0:00,Food,90,90,90,,,Rockville,MD,20854,1,,,,,
7/1/2023 0:00,Food,91,91,91,,,Rockville,MD,20855,1,,,,,
8/1/2023 0:00,Food,92,92,92,,,Rockville,MD,20859,1,,,,,
9/1/2023 0:00,Food,93,93,93,,,,MD,20860,1,,,,,
10/1/2023 0:00,Food,94,94,94,,,,MD,20868,1,,,,,
11/1/2023 0:00,Food,95,95,95,,,Sandy Spring,MD,20912,1,,,,,
12/1/2023 0:00,Food,96,96,96,,,Spencerville,MD,20912,1,,,,,
1/1/2023 0:00,Food,97,97,97,,,Takoma Park,MD,20912,1,,,,,
2/1/2023 0:00,Food,98,98,98,,,Sandy Spring,MD,20913,1,,,,,
3/1/2023 0:00,Food,99,99,99,,,Spencerville,MD,20913,1,,,,,
4/1/2023 0:00,Food,100,100,100,,,Takoma Park,MD,20913,1,,,,,
5/1/2023 0:00,Food,101,101,101,,,,MD,20901,1,,,,,
6/1/2023 0:00,Food,102,102,102,,,Silver Spring,MD,20902,1,,,,,
7/1/2023 0:00,Food,103,103,103,,,,MD,20903,1,,,,,
8/1/2023 0:00,Food,104,104,104,,,Silver Spring,MD,20904,1,,,,,
9/1/2023 0:00,Food,105,105,105,,,Silver Spring,MD,20905,1,,,,,
10/1/2023 0:00,Food,106,106,106,,,Silver Spring,MD,20906,1,,,,,
11/1/2023 0:00,Food,107,107,107,,,,MD,20907,1,,,,,
12/1/2023 0:00,Food,108,108,108,,,,MD,20908,1,,,,,
1/1/2023 0:00,Food,109,109,109,,,,MD,20910,1,,,,,
2/1/2023 0:00,Food,110,110,110,,,,MD,20911,1,,,,,
3/1/2023 0:00,Food,111,111,111,,,Silver Spring,MD,20912,1,,,,,
4/1/2023 0:00,Food,112,112,112,,,Silver Spring,MD,20913,1,,,,,
5/1/2023 0:00,Food,113,113,113,,,Silver Spring,MD,20914,1,,,,,
6/1/2023 0:00,Food,114,114,114,,,Silver Spring,MD,20915,1,,,,,
7/1/2023 0:00,Food,115,115,115,,,Silver Spring,MD,20916,1,,,,,
8/1/2023 0:00,Food,116,116,116,,,,MD,20918,1,,,,,
9/1/2023 0:00,Food,117,117,117,,,,MD,20880,1,,,,,
10/1/2023 0:00,Food,118,118,118,,,Washington Grove,MD,20902,1,,,,,
11/1/2023 0:00,Food,119,119,119,,,Wheaton,MD,20902,1,,,,,
12/1/2023 0:00,Food,120,120,120,,,Washington Grove,MD,20915,1,,,,,
1/1/2023 0:00,Food,121,121,121,,,Wheaton,MD,20915,1,,,,,
